;Memory;Environment;Line;Current line;Message
0;<1,None>;+<1,head>;34.0;"Node* current = head;";
1;;+<1,current>;40.0;"Node* current = head;";
2;;+<1,temp>;42.0;"temp = current;";
3;<1,2>;+<2,current>;43.0;"current = current->getNext();";
4;<2,None>;+<2,current>;43.0;"current = current->getNext();";
5;<1,None>;;44.0;"temp->setNext(current->getNext());";
6;<3,None>;;46.0;"current->setNext(new Node(data));";
7;<2,3>;;46.0;"current->setNext(new Node(data));";
8;;+<3,head>;47.0;"head = current;";
9;;;;;
10;leak in string 34.0;;;;
11;leak in string 47.0;;;;
0;<1,None>;+<1,head>;50.0;"Node* current = head;";
1;;+<1,current>;51.0;"Node* current = head;";
2;<2,None>;+<2,temp>;52.0;"Node* temp = new Node(data);";
3;<3,None>;+<3,current2>;53.0;"Node* current2 = new Node(data);";
4;<3,4>;+<4,current2>;71.0;"current2 = current->getNext();";
5;<4,None>;+<4,current2>;71.0;"current2 = current->getNext();";
6;<1,5>;+<5,current>;72.0;"current = current->getNext();";
7;<5,None>;+<5,current>;72.0;"current = current->getNext();";
8;<4,5>;;64.0;"current2->setNext(current);";
9;<2,5>;;65.0;"temp->setNext(current);";
10;;-<2,temp>;66.0;"delete temp;";
11;;;;;
12;leak in string 53.0;;;;
13;leak in string 71.0;;;;
0;<1,None>;+<1,head>;78.0;"Node* current = head;";
1;;+<1,current>;79.0;"Node* current = head;";
2;;;80.0;"Node* temp;";
3;;+<1,temp>;94.0;"temp = current;";
4;<1,2>;+<2,current>;95.0;"current = current->getNext();";
5;<2,None>;+<2,current>;95.0;"current = current->getNext();";
6;<1,2>;;89.0;"temp->setNext(current);";
7;;+<2,head>;90.0;"head = current;";
8;;-<2,current>;91.0;"delete current;";
9;;;;;
10;leak in string 90.0;;;;
0;<1,None>;+<1,head>;100.0;"Node* current = head;";
1;;+<1,current>;101.0;"Node* current = head;";
2;;;102.0;"Node* temp;";
3;;+<1,temp>;104.0;"temp = head;";
4;<1,2>;+<2,head>;105.0;"head = head->getNext();";
5;<2,None>;+<2,head>;105.0;"head = head->getNext();";
6;<2,None>;+<2,current>;109.0;"current = current->getNext();";
7;<2,3>;+<3,current>;109.0;"current = current->getNext();";
8;<3,None>;+<3,current>;109.0;"current = current->getNext();";
9;<4,None>;;111.0;"current->setNext(new Node(data));";
10;<3,4>;;111.0;"current->setNext(new Node(data));";
11;;+<2,temp>;112.0;"temp = head;";
12;;+<4,temp>;113.0;"temp = current;";
13;<4,2>;;114.0;"current->setNext(head);";
14;;;;;
15;leak in string 105.0;;;;
